"Notes"	"State"	"State Code"	"Race"	"Race Code"	"Hispanic Origin"	"Hispanic Origin Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	Age Adjusted Rate Standard Error
	"Alabama"	"01"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"1999"	"1999"	Suppressed	1156898	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2000"	"2000"	Suppressed	1159997	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2001"	"2001"	Suppressed	1169299	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2002"	"2002"	Suppressed	1173950	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2003"	"2003"	Suppressed	1181015	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2004"	"2004"	Suppressed	1189488	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2005"	"2005"	Suppressed	1200444	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2006"	"2006"	Suppressed	1219303	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2007"	"2007"	14	1231942	Unreliable	Unreliable	0.61051	1.87363	0.29989
	"Alabama"	"01"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2008"	"2008"	Suppressed	1246295	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2009"	"2009"	Suppressed	1257451	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2010"	"2010"	10	1264509	Unreliable	Unreliable	0.34600	1.32692	0.22934
	"Alabama"	"01"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2011"	"2011"	Suppressed	1277437	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2012"	"2012"	15	1286490	Unreliable	Unreliable	0.68725	2.02527	0.32082
	"Alabama"	"01"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2013"	"2013"	12	1291705	Unreliable	Unreliable	0.45162	1.52675	0.25651
	"Alabama"	"01"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2014"	"2014"	26	1301026	1.99842	2.03656	1.31796	3.00637	0.40667
	"Alabama"	"01"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2015"	"2015"	31	1308708	2.36875	2.33060	1.57246	3.32708	0.42392
	"Alabama"	"01"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2016"	"2016"	53	1312529	4.03801	4.20804	3.13318	5.53282	0.58872
	"Alabama"	"01"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"1999"	"1999"	34	3152975	1.07835	1.06389	0.73678	1.48668	0.18278
	"Alabama"	"01"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2000"	"2000"	40	3152417	1.26887	1.29569	0.92565	1.76436	0.20526
	"Alabama"	"01"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2001"	"2001"	53	3151605	1.68168	1.70489	1.27708	2.23003	0.23472
	"Alabama"	"01"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2002"	"2002"	66	3148576	2.09619	2.11516	1.63244	2.69594	0.26171
	"Alabama"	"01"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2003"	"2003"	43	3152869	1.36384	1.39963	1.01292	1.88529	0.21454
	"Alabama"	"01"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2004"	"2004"	76	3158508	2.40620	2.46536	1.93915	3.09035	0.28430
	"Alabama"	"01"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2005"	"2005"	80	3171859	2.52218	2.60957	2.06602	3.25231	0.29365
	"Alabama"	"01"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2006"	"2006"	120	3195774	3.75496	3.85388	3.15614	4.55161	0.35599
	"Alabama"	"01"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2007"	"2007"	151	3211122	4.70241	4.93206	4.13735	5.72678	0.40547
	"Alabama"	"01"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2008"	"2008"	176	3226007	5.45566	5.82040	4.95064	6.69015	0.44375
	"Alabama"	"01"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2009"	"2009"	197	3238154	6.08371	6.42840	5.51855	7.33825	0.46421
	"Alabama"	"01"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2010"	"2010"	177	3241681	5.46013	5.83122	4.96042	6.70201	0.44428
	"Alabama"	"01"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2011"	"2011"	167	3241321	5.15222	5.35342	4.52702	6.17983	0.42163
	"Alabama"	"01"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2012"	"2012"	148	3246247	4.55911	4.87695	4.07801	5.67590	0.40762
	"Alabama"	"01"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2013"	"2013"	150	3247880	4.61840	4.85453	4.06169	5.64737	0.40451
	"Alabama"	"01"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2014"	"2014"	244	3248166	7.51193	7.70049	6.70996	8.69102	0.50537
	"Alabama"	"01"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2015"	"2015"	243	3244263	7.49014	8.13664	7.09232	9.18095	0.53281
	"Alabama"	"01"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2016"	"2016"	282	3242435	8.69717	9.41198	8.28583	10.53812	0.57456
	"Alaska"	"02"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"1999"	"1999"	Suppressed	24886	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2000"	"2000"	Suppressed	24742	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2001"	"2001"	Suppressed	25248	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2002"	"2002"	Suppressed	25932	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2003"	"2003"	Suppressed	25918	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2004"	"2004"	Suppressed	26237	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2005"	"2005"	Suppressed	26229	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2006"	"2006"	Suppressed	26447	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2007"	"2007"	Suppressed	26814	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2008"	"2008"	Suppressed	27184	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2009"	"2009"	Suppressed	27541	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2010"	"2010"	Suppressed	28315	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2011"	"2011"	Suppressed	30159	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2012"	"2012"	Suppressed	31747	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2013"	"2013"	Suppressed	32913	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2014"	"2014"	Suppressed	33297	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2015"	"2015"	Suppressed	33256	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2016"	"2016"	Suppressed	32475	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"1999"	"1999"	22	442591	4.97073	4.39511	2.75437	6.65424	0.94317
	"Alaska"	"02"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2000"	"2000"	24	440175	5.45238	4.72727	3.02886	7.03380	0.97089
	"Alaska"	"02"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2001"	"2001"	12	441842	Unreliable	Unreliable	1.26571	4.27888	0.71170
	"Alaska"	"02"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2002"	"2002"	Suppressed	445472	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2003"	"2003"	10	447415	Unreliable	Unreliable	0.91244	3.49923	0.60720
	"Alaska"	"02"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2004"	"2004"	Suppressed	453472	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2005"	"2005"	15	456747	Unreliable	Unreliable	1.59067	4.68754	0.74367
	"Alaska"	"02"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2006"	"2006"	27	461371	5.85212	5.30381	3.46461	7.77131	1.04087
	"Alaska"	"02"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2007"	"2007"	11	463399	Unreliable	Unreliable	0.97378	3.49030	0.59482
	"Alaska"	"02"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2008"	"2008"	69	466407	14.79395	14.23181	11.00688	18.10642	1.75668
	"Alaska"	"02"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2009"	"2009"	72	471660	15.26523	14.00572	10.87600	17.75561	1.70136
	"Alaska"	"02"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2010"	"2010"	49	478379	10.24292	9.76261	7.14750	13.02195	1.43829
	"Alaska"	"02"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2011"	"2011"	51	483143	10.55588	9.71680	7.16439	12.88302	1.39763
	"Alaska"	"02"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2012"	"2012"	63	484194	13.01131	12.51670	9.52834	16.14567	1.62353
	"Alaska"	"02"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2013"	"2013"	54	482664	11.18791	10.68164	7.92813	14.08246	1.51315
	"Alaska"	"02"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2014"	"2014"	52	479550	10.84350	10.70043	7.91628	14.14650	1.53299
	"Alaska"	"02"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2015"	"2015"	56	477502	11.72770	10.88583	8.15425	14.23888	1.49554
	"Alaska"	"02"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2016"	"2016"	70	477964	14.64545	14.35445	11.10173	18.26245	1.76104
