"Notes"	"State"	"State Code"	"Race"	"Race Code"	"Hispanic Origin"	"Hispanic Origin Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	Age Adjusted Rate Standard Error
	"Alabama"	"01"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"1999"	"1999"	Suppressed	1156898	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2000"	"2000"	Suppressed	1159997	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2001"	"2001"	Suppressed	1169299	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2002"	"2002"	Suppressed	1173950	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2003"	"2003"	Suppressed	1181015	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2004"	"2004"	Suppressed	1189488	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2005"	"2005"	Suppressed	1200444	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2006"	"2006"	Suppressed	1219303	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2007"	"2007"	Suppressed	1231942	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2008"	"2008"	Suppressed	1246295	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2009"	"2009"	Suppressed	1257451	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2010"	"2010"	Suppressed	1264509	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2011"	"2011"	Suppressed	1277437	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2012"	"2012"	Suppressed	1286490	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2013"	"2013"	Suppressed	1291705	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2014"	"2014"	15	1301026	Unreliable	Unreliable	0.64848	1.99016	0.31326
	"Alabama"	"01"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2015"	"2015"	19	1308708	Unreliable	Unreliable	0.86639	2.24720	0.33413
	"Alabama"	"01"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2016"	"2016"	17	1312529	Unreliable	Unreliable	0.77644	2.20594	0.33516
	"Alabama"	"01"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"1999"	"1999"	Suppressed	3152975	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2000"	"2000"	Suppressed	3152417	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2001"	"2001"	Suppressed	3151605	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2002"	"2002"	Suppressed	3148576	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2003"	"2003"	Suppressed	3152869	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2004"	"2004"	Suppressed	3158508	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2005"	"2005"	Suppressed	3171859	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2006"	"2006"	Suppressed	3195774	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2007"	"2007"	Suppressed	3211122	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2008"	"2008"	Suppressed	3226007	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2009"	"2009"	12	3238154	Unreliable	Unreliable	0.20159	0.68151	0.11429
	"Alabama"	"01"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2010"	"2010"	Suppressed	3241681	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2011"	"2011"	14	3241321	Unreliable	Unreliable	0.26335	0.80821	0.12963
	"Alabama"	"01"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2012"	"2012"	30	3246247	0.92414	1.03683	0.69439	1.48907	0.19133
	"Alabama"	"01"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2013"	"2013"	34	3247880	1.04684	1.12753	0.77614	1.58347	0.19546
	"Alabama"	"01"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2014"	"2014"	107	3248166	3.29417	3.66594	2.96070	4.37118	0.35982
	"Alabama"	"01"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2015"	"2015"	90	3244263	2.77413	3.13870	2.51398	3.87159	0.33568
	"Alabama"	"01"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2016"	"2016"	107	3242435	3.29999	3.73884	3.01703	4.46064	0.36827
	"Alaska"	"02"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"1999"	"1999"	Suppressed	24886	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2000"	"2000"	Suppressed	24742	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2001"	"2001"	Suppressed	25248	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2002"	"2002"	Suppressed	25932	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2003"	"2003"	Suppressed	25918	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2004"	"2004"	Suppressed	26237	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2005"	"2005"	Suppressed	26229	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2006"	"2006"	Suppressed	26447	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2007"	"2007"	Suppressed	26814	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2008"	"2008"	Suppressed	27184	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2009"	"2009"	Suppressed	27541	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2010"	"2010"	Suppressed	28315	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2011"	"2011"	Suppressed	30159	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2012"	"2012"	Suppressed	31747	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2013"	"2013"	Suppressed	32913	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2014"	"2014"	Suppressed	33297	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2015"	"2015"	Suppressed	33256	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2016"	"2016"	Suppressed	32475	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"1999"	"1999"	Suppressed	442591	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2000"	"2000"	Suppressed	440175	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2001"	"2001"	Suppressed	441842	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2002"	"2002"	Suppressed	445472	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2003"	"2003"	Suppressed	447415	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2004"	"2004"	Suppressed	453472	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2005"	"2005"	Suppressed	456747	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2006"	"2006"	Suppressed	461371	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2007"	"2007"	Suppressed	463399	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2008"	"2008"	Suppressed	466407	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2009"	"2009"	Suppressed	471660	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2010"	"2010"	Suppressed	478379	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2011"	"2011"	Suppressed	483143	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2012"	"2012"	21	484194	4.33710	3.99286	2.47166	6.10353	0.87900
	"Alaska"	"02"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2013"	"2013"	18	482664	Unreliable	Unreliable	2.07041	5.69048	0.86761
