"Notes"	"State"	"State Code"	"Race"	"Race Code"	"Hispanic Origin"	"Hispanic Origin Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	Age Adjusted Rate Standard Error
	"Alabama"	"01"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"1999"	"1999"	Suppressed	1156898	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2000"	"2000"	Suppressed	1159997	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2001"	"2001"	Suppressed	1169299	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2002"	"2002"	Suppressed	1173950	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2003"	"2003"	Suppressed	1181015	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2004"	"2004"	Suppressed	1189488	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2005"	"2005"	Suppressed	1200444	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2006"	"2006"	Suppressed	1219303	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2007"	"2007"	Suppressed	1231942	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2008"	"2008"	Suppressed	1246295	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2009"	"2009"	Suppressed	1257451	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2010"	"2010"	Suppressed	1264509	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2011"	"2011"	Suppressed	1277437	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2012"	"2012"	Suppressed	1286490	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2013"	"2013"	Suppressed	1291705	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2014"	"2014"	Suppressed	1301026	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2015"	"2015"	Suppressed	1308708	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2016"	"2016"	31	1312529	2.36185	2.53799	1.71238	3.62313	0.46406
	"Alabama"	"01"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"1999"	"1999"	Suppressed	3152975	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2000"	"2000"	11	3152417	Unreliable	Unreliable	0.17215	0.61704	0.10431
	"Alabama"	"01"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2001"	"2001"	Suppressed	3151605	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2002"	"2002"	Suppressed	3148576	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2003"	"2003"	Suppressed	3152869	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2004"	"2004"	11	3158508	Unreliable	Unreliable	0.18143	0.65030	0.11057
	"Alabama"	"01"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2005"	"2005"	11	3171859	Unreliable	Unreliable	0.17218	0.61716	0.10430
	"Alabama"	"01"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2006"	"2006"	21	3195774	0.65712	0.67106	0.40990	1.03639	0.14847
	"Alabama"	"01"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2007"	"2007"	18	3211122	Unreliable	Unreliable	0.35162	0.93765	0.14163
	"Alabama"	"01"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2008"	"2008"	19	3226007	Unreliable	Unreliable	0.35747	0.95325	0.14104
	"Alabama"	"01"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2009"	"2009"	28	3238154	0.86469	0.88415	0.58266	1.28639	0.17033
	"Alabama"	"01"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2010"	"2010"	33	3241681	1.01799	1.10438	0.75540	1.55905	0.19480
	"Alabama"	"01"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2011"	"2011"	18	3241321	Unreliable	Unreliable	0.36016	0.98990	0.14817
	"Alabama"	"01"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2012"	"2012"	14	3246247	Unreliable	Unreliable	0.22440	0.72067	0.11521
	"Alabama"	"01"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2013"	"2013"	27	3247880	0.83131	0.77413	0.50568	1.13427	0.15300
	"Alabama"	"01"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2014"	"2014"	43	3248166	1.32382	1.36224	0.97757	1.84802	0.21352
	"Alabama"	"01"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2015"	"2015"	61	3244263	1.88024	2.09363	1.59378	2.70064	0.27305
	"Alabama"	"01"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2016"	"2016"	124	3242435	3.82429	4.23786	3.47945	4.99628	0.38695
	"Alaska"	"02"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"1999"	"1999"	Suppressed	24886	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2000"	"2000"	Suppressed	24742	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2001"	"2001"	Suppressed	25248	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2002"	"2002"	Suppressed	25932	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2003"	"2003"	Suppressed	25918	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2004"	"2004"	Suppressed	26237	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2005"	"2005"	Suppressed	26229	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2006"	"2006"	Suppressed	26447	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2007"	"2007"	Suppressed	26814	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2008"	"2008"	Suppressed	27184	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2009"	"2009"	Suppressed	27541	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2010"	"2010"	Suppressed	28315	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2011"	"2011"	Suppressed	30159	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2012"	"2012"	Suppressed	31747	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2013"	"2013"	Suppressed	32913	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2014"	"2014"	Suppressed	33297	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2015"	"2015"	Suppressed	33256	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	"2016"	"2016"	Suppressed	32475	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"1999"	"1999"	Suppressed	442591	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2000"	"2000"	Suppressed	440175	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2001"	"2001"	Suppressed	441842	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2002"	"2002"	Suppressed	445472	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2003"	"2003"	Suppressed	447415	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2004"	"2004"	Suppressed	453472	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2005"	"2005"	Suppressed	456747	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2006"	"2006"	Suppressed	461371	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2007"	"2007"	Suppressed	463399	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2008"	"2008"	Suppressed	466407	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2009"	"2009"	16	471660	Unreliable	Unreliable	1.59459	4.69910	0.72514
	"Alaska"	"02"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2010"	"2010"	Suppressed	478379	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2011"	"2011"	Suppressed	483143	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2012"	"2012"	Suppressed	484194	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2013"	"2013"	Suppressed	482664	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	"2014"	"2014"	11	479550	Unreliable	Unreliable	1.15779	4.14988	0.71077
