"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	Age Adjusted Rate Standard Error
	"Alabama"	"01"	"1999"	"1999"	37	4430141	0.83519	0.83460	0.58763	1.15038	0.13746
	"Alabama"	"01"	"2000"	"2000"	43	4447100	0.96692	0.98993	0.71641	1.33342	0.15114
	"Alabama"	"01"	"2001"	"2001"	57	4467634	1.27584	1.29709	0.98240	1.68053	0.17205
	"Alabama"	"01"	"2002"	"2002"	71	4480089	1.58479	1.61198	1.25897	2.03329	0.19185
	"Alabama"	"01"	"2003"	"2003"	49	4503491	1.08804	1.10769	0.81948	1.46442	0.15897
	"Alabama"	"01"	"2004"	"2004"	83	4530729	1.83193	1.84700	1.46897	2.29260	0.20364
	"Alabama"	"01"	"2005"	"2005"	80	4569805	1.75062	1.75091	1.38622	2.18216	0.19648
	"Alabama"	"01"	"2006"	"2006"	124	4628981	2.67878	2.70266	2.22368	3.18164	0.24438
	"Alabama"	"01"	"2007"	"2007"	165	4672840	3.53104	3.59468	3.04209	4.14727	0.28193
	"Alabama"	"01"	"2008"	"2008"	185	4718206	3.92098	4.11182	3.51444	4.70921	0.30479
	"Alabama"	"01"	"2009"	"2009"	206	4757938	4.32961	4.48070	3.86241	5.09899	0.31546
	"Alabama"	"01"	"2010"	"2010"	187	4779736	3.91235	4.05494	3.46819	4.64168	0.29936
	"Alabama"	"01"	"2011"	"2011"	176	4802740	3.66457	3.76866	3.20511	4.33221	0.28753
	"Alabama"	"01"	"2012"	"2012"	165	4822023	3.42180	3.60970	3.05079	4.16861	0.28516
	"Alabama"	"01"	"2013"	"2013"	166	4833722	3.43421	3.51166	2.96899	4.05433	0.27687
	"Alabama"	"01"	"2014"	"2014"	270	4849377	5.56773	5.63612	4.95134	6.32091	0.34938
	"Alabama"	"01"	"2015"	"2015"	282	4858979	5.80369	6.13273	5.40526	6.86019	0.37115
	"Alabama"	"01"	"2016"	"2016"	343	4863300	7.05282	7.48004	6.67274	8.28734	0.41189
	"Alaska"	"02"	"1999"	"1999"	27	624779	4.32153	3.99255	2.63113	5.80896	0.77272
	"Alaska"	"02"	"2000"	"2000"	27	626932	4.30669	4.00335	2.63825	5.82468	0.77392
	"Alaska"	"02"	"2001"	"2001"	14	633714	Unreliable	Unreliable	1.15693	3.55058	0.56821
	"Alaska"	"02"	"2002"	"2002"	Suppressed	642337	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"2003"	"2003"	11	648414	Unreliable	Unreliable	0.77141	2.76495	0.46836
	"Alaska"	"02"	"2004"	"2004"	10	659286	Unreliable	Unreliable	0.66513	2.55079	0.44068
	"Alaska"	"02"	"2005"	"2005"	18	666946	Unreliable	Unreliable	1.49800	4.11724	0.61858
	"Alaska"	"02"	"2006"	"2006"	29	675302	4.29437	4.10747	2.72937	5.93645	0.77511
	"Alaska"	"02"	"2007"	"2007"	15	680300	Unreliable	Unreliable	1.07327	3.16283	0.49780
	"Alaska"	"02"	"2008"	"2008"	88	687455	12.80084	12.49353	9.96534	15.46786	1.36110
	"Alaska"	"02"	"2009"	"2009"	90	698895	12.87747	12.46540	9.97070	15.39465	1.34748
	"Alaska"	"02"	"2010"	"2010"	62	710231	8.72955	8.74332	6.65585	11.27827	1.13916
