"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	Age Adjusted Rate Standard Error
	"Alabama"	"01"	"1999"	"1999"	10	4430141	Unreliable	Unreliable	0.11017	0.42250	0.07268
	"Alabama"	"01"	"2000"	"2000"	26	4447100	0.58465	0.59776	0.39048	0.87586	0.11749
	"Alabama"	"01"	"2001"	"2001"	22	4467634	0.49243	0.49443	0.30985	0.74857	0.10566
	"Alabama"	"01"	"2002"	"2002"	30	4480089	0.66963	0.66971	0.45185	0.95605	0.12271
	"Alabama"	"01"	"2003"	"2003"	22	4503491	0.48851	0.50449	0.31616	0.76380	0.10788
	"Alabama"	"01"	"2004"	"2004"	32	4530729	0.70629	0.74169	0.50731	1.04704	0.13184
	"Alabama"	"01"	"2005"	"2005"	24	4569805	0.52519	0.53683	0.34396	0.79876	0.11018
	"Alabama"	"01"	"2006"	"2006"	49	4628981	1.05855	1.04802	0.77272	1.38951	0.15126
	"Alabama"	"01"	"2007"	"2007"	66	4672840	1.41242	1.44567	1.11574	1.84262	0.17895
	"Alabama"	"01"	"2008"	"2008"	73	4718206	1.54720	1.60135	1.25296	2.01663	0.18897
	"Alabama"	"01"	"2009"	"2009"	92	4757938	1.93361	2.00067	1.60878	2.45916	0.21089
	"Alabama"	"01"	"2010"	"2010"	82	4779736	1.71558	1.75391	1.39075	2.18290	0.19589
	"Alabama"	"01"	"2011"	"2011"	92	4802740	1.91557	1.91415	1.53921	2.35282	0.20211
	"Alabama"	"01"	"2012"	"2012"	62	4822023	1.28577	1.31747	1.00538	1.69585	0.16943
	"Alabama"	"01"	"2013"	"2013"	65	4833722	1.34472	1.34654	1.03472	1.72281	0.17019
	"Alabama"	"01"	"2014"	"2014"	90	4849377	1.85591	1.79244	1.43372	2.21365	0.19307
	"Alabama"	"01"	"2015"	"2015"	87	4858979	1.79050	1.82628	1.45461	2.26395	0.20055
	"Alabama"	"01"	"2016"	"2016"	94	4863300	1.93284	1.98642	1.59732	2.44165	0.20978
	"Alaska"	"02"	"1999"	"1999"	10	624779	Unreliable	Unreliable	0.71816	2.75413	0.47687
	"Alaska"	"02"	"2000"	"2000"	21	626932	3.34965	3.14827	1.94884	4.81248	0.69069
	"Alaska"	"02"	"2001"	"2001"	Suppressed	633714	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"2002"	"2002"	Suppressed	642337	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"2003"	"2003"	Suppressed	648414	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"2004"	"2004"	Suppressed	659286	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"2005"	"2005"	Suppressed	666946	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"2006"	"2006"	14	675302	Unreliable	Unreliable	1.02368	3.14164	0.50401
	"Alaska"	"02"	"2007"	"2007"	Suppressed	680300	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"2008"	"2008"	51	687455	7.41867	7.20372	5.34674	9.49724	1.02267
	"Alaska"	"02"	"2009"	"2009"	60	698895	8.58498	8.12180	6.16721	10.49929	1.06748
	"Alaska"	"02"	"2010"	"2010"	38	710231	5.35037	5.38145	3.76912	7.45019	0.90097
	"Alaska"	"02"	"2011"	"2011"	36	722718	4.98120	4.79147	3.33745	6.66378	0.81341
	"Alaska"	"02"	"2012"	"2012"	42	731449	5.74203	5.72568	4.07153	7.82718	0.92176
	"Alaska"	"02"	"2013"	"2013"	38	735132	5.16914	5.17046	3.60143	7.19087	0.87671
	"Alaska"	"02"	"2014"	"2014"	40	736732	5.42938	5.63270	3.96593	7.76395	0.92134
	"Alaska"	"02"	"2015"	"2015"	51	738432	6.90653	6.53769	4.83665	8.64315	0.93522
	"Alaska"	"02"	"2016"	"2016"	45	741894	6.06556	6.07587	4.39711	8.18413	0.92788
	"Arizona"	"04"	"1999"	"1999"	80	5023823	1.59241	1.65195	1.30787	2.05883	0.18629
