"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	Age Adjusted Rate Standard Error
	"Alabama"	"01"	"1999"	"1999"	10	4430141	Unreliable	Unreliable	0.10400	0.39883	0.06898
	"Alabama"	"01"	"2000"	"2000"	11	4447100	Unreliable	Unreliable	0.12126	0.43465	0.07361
	"Alabama"	"01"	"2001"	"2001"	Suppressed	4467634	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"2002"	"2002"	Suppressed	4480089	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"2003"	"2003"	Suppressed	4503491	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"2004"	"2004"	12	4530729	Unreliable	Unreliable	0.15141	0.51186	0.08486
	"Alabama"	"01"	"2005"	"2005"	11	4569805	Unreliable	Unreliable	0.11788	0.42252	0.07214
	"Alabama"	"01"	"2006"	"2006"	22	4628981	0.47527	0.48514	0.30403	0.73451	0.10441
	"Alabama"	"01"	"2007"	"2007"	21	4672840	0.44941	0.44793	0.27728	0.68471	0.09845
	"Alabama"	"01"	"2008"	"2008"	19	4718206	Unreliable	Unreliable	0.24754	0.64207	0.09485
	"Alabama"	"01"	"2009"	"2009"	31	4757938	0.65154	0.66936	0.45162	0.95556	0.12246
	"Alabama"	"01"	"2010"	"2010"	34	4779736	0.71134	0.73558	0.50633	1.03302	0.12788
	"Alabama"	"01"	"2011"	"2011"	19	4802740	Unreliable	Unreliable	0.25987	0.69298	0.10204
	"Alabama"	"01"	"2012"	"2012"	16	4822023	Unreliable	Unreliable	0.18721	0.55168	0.08580
	"Alabama"	"01"	"2013"	"2013"	30	4833722	0.62064	0.60251	0.40351	0.86530	0.11274
	"Alabama"	"01"	"2014"	"2014"	47	4849377	0.96920	0.98190	0.71621	1.31387	0.14656
	"Alabama"	"01"	"2015"	"2015"	70	4858979	1.44063	1.55124	1.20460	1.96657	0.18820
	"Alabama"	"01"	"2016"	"2016"	157	4863300	3.22826	3.49036	2.93614	4.04457	0.28276
